date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:28:38	19033/19033	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd4a7a-4a59%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.11.0/umd/popper.min.js	/home/dhialinux/websites/culture/cdnjs.cloudflare.com/ajax/libs/popper.js/1.11.0/umd/popper.min.js	(from http://markup.themewagon.com/tryfreya/)
22:28:40	3454/3454	---M-Z	200	added ('OK')	application/javascript	etag:%22d7e-5612595a3bd72-gzip%22	http://markup.themewagon.com/tryfreya/assets/lib/gsap/src/minified/plugins/ScrollToPlugin.min.js	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/assets/lib/gsap/src/minified/plugins/ScrollToPlugin.min.js	(from http://markup.themewagon.com/tryfreya/)
22:28:42	5227/5227	---M-Z	200	added ('OK')	application/javascript	etag:%22146b-5612595a38e92-gzip%22	http://markup.themewagon.com/tryfreya/assets/lib/CustomEase.min.js	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/assets/lib/CustomEase.min.js	(from http://markup.themewagon.com/tryfreya/)
22:28:42	1610/1610	---M-Z	200	added ('OK')	application/javascript	etag:%2264a-561381a29e5d2-gzip%22	http://markup.themewagon.com/tryfreya/assets/js/config.js	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/assets/js/config.js	(from http://markup.themewagon.com/tryfreya/)
22:28:44	114925/114925	---M-Z	200	added ('OK')	application/javascript	etag:%221c0ed-5612595a3bd72-gzip%22	http://markup.themewagon.com/tryfreya/assets/lib/gsap/src/minified/TweenMax.min.js	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/assets/lib/gsap/src/minified/TweenMax.min.js	(from http://markup.themewagon.com/tryfreya/)
22:28:44	3227/3227	---M-Z	200	added ('OK')	application/javascript	etag:%22c9b-5612595a478f2-gzip%22	http://markup.themewagon.com/tryfreya/assets/lib/rellax/rellax.min.js	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/assets/lib/rellax/rellax.min.js	(from http://markup.themewagon.com/tryfreya/)
22:28:46	1159/1159	---M-Z	200	added ('OK')	application/javascript	etag:%22487-5612595a38e92-gzip%22	http://markup.themewagon.com/tryfreya/assets/js/zanimation.js	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/assets/js/zanimation.js	(from http://markup.themewagon.com/tryfreya/)
22:28:48	1277/1277	---M-Z	200	added ('OK')	application/javascript	etag:%224fd-5612595a38e92-gzip%22	http://markup.themewagon.com/tryfreya/assets/js/inertia.js	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/assets/js/inertia.js	(from http://markup.themewagon.com/tryfreya/)
22:28:52	22334/22334	---M-Z	200	added ('OK')	application/javascript	etag:%22573e-5612595a39e32-gzip%22	http://markup.themewagon.com/tryfreya/assets/lib/flexslider/jquery.flexslider-min.js	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/assets/lib/flexslider/jquery.flexslider-min.js	(from http://markup.themewagon.com/tryfreya/)
22:28:54	11448/11448	---M-Z	200	added ('OK')	application/javascript	etag:%222cb8-5612595a38e92-gzip%22	http://markup.themewagon.com/tryfreya/assets/js/core.js	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/assets/js/core.js	(from http://markup.themewagon.com/tryfreya/)
22:28:54	357/357	---M-Z	200	added ('OK')	application/javascript	etag:%22165-5612595a38e92-gzip%22	http://markup.themewagon.com/tryfreya/assets/js/main.js	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/assets/js/main.js	(from http://markup.themewagon.com/tryfreya/)
22:29:14	666071/666071	---M--	200	added ('OK')	image/jpeg	etag:%22a29d7-5612998d67292%22	http://markup.themewagon.com/tryfreya/assets/images/img_15.jpg	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/assets/images/img_15.jpg	(from http://markup.themewagon.com/tryfreya/)
